Mode,Domain,Problem,pl,Goal {AstarGNN},Length {AstarGNN},Nodes {AstarGNN},Total (ms) {AstarGNN},Init (ms) {AstarGNN},Search (ms) {AstarGNN},Overhead (ms) {AstarGNN},Goal {BFS},Length {BFS},Nodes {BFS},Total (ms) {BFS},Init (ms) {BFS},Search (ms) {BFS},Overhead (ms) {BFS},Goal {p5},Length {p5},Nodes {p5},Total (ms) {p5},Init (ms) {p5},Search (ms) {p5},Overhead (ms) {p5},Search {p5}
Training,SC,SC_9_11__pl_8,8,Yes,8.0,66.0,388.0,12.0,321.0,54.0,Yes,8.0,66.0,271.0,11.0,223.0,36.0,Yes,8.0,66.0,500.0,19.0,422.0,58.0,A*(GNN)
Test,SC,SC_9_11__pl_9,9,Yes,9.0,238.0,1895.0,29.0,1771.0,94.0,Yes,9.0,238.0,2158.0,13.0,2077.0,67.0,Yes,9.0,237.0,2041.0,21.0,1932.0,87.0,A*(GNN)
Test,SC,SC_9_11__pl_10,10,Yes,10.0,663.0,6151.0,23.0,5970.0,157.0,Yes,10.0,663.0,5467.0,13.0,5272.0,181.0,Yes,10.0,657.0,6013.0,20.0,5788.0,204.0,A*(GNN)
Test,SC,SC_9_11__pl_11,11,Yes,11.0,1262.0,15073.0,29.0,14597.0,446.0,Yes,11.0,1262.0,10960.0,13.0,10710.0,236.0,Yes,11.0,1272.0,12372.0,19.0,12011.0,341.0,A*(GNN)
Test,SC,SC_10_8__pl_9,9,TO,,,,,,,TO,,,,,,,TO,,,,,,,-
Training,SC,SC_10_8__pl_10,10,Yes,10.0,10.0,174.0,11.0,79.0,83.0,Yes,10.0,10.0,97.0,8.0,24.0,64.0,Yes,10.0,10.0,108.0,17.0,34.0,56.0,A*(GNN)
Test,SC,SC_10_8__pl_14,14,Yes,14.0,93.0,481.0,9.0,420.0,51.0,Yes,14.0,93.0,378.0,8.0,345.0,24.0,Yes,14.0,93.0,572.0,16.0,472.0,83.0,A*(GNN)
Training,SC,SC_10_8__pl_15,15,Yes,15.0,130.0,824.0,16.0,723.0,84.0,Yes,15.0,130.0,543.0,8.0,434.0,100.0,Yes,15.0,130.0,822.0,17.0,730.0,74.0,A*(GNN)
Test,SCRich,SC_10_10__pl_2,2,Yes,2.0,6.0,280.0,19.0,195.0,65.0,Yes,2.0,6.0,173.0,12.0,131.0,29.0,Yes,2.0,6.0,311.0,31.0,195.0,84.0,A*(GNN)
Test,SCRich,SC_10_10__pl_3,3,Yes,3.0,10.0,239.0,23.0,169.0,46.0,Yes,3.0,10.0,248.0,13.0,195.0,39.0,Yes,3.0,10.0,347.0,30.0,259.0,57.0,A*(GNN)
Training,SCRich,SC_10_10__pl_6,6,Yes,6.0,309.0,8676.0,35.0,8563.0,77.0,Yes,6.0,309.0,5998.0,15.0,5918.0,64.0,Yes,6.0,298.0,8135.0,33.0,8003.0,98.0,A*(GNN)
Training,SCRich,SC_10_10__pl_7,7,Yes,7.0,647.0,17999.0,32.0,17810.0,156.0,Yes,7.0,647.0,11495.0,12.0,11392.0,90.0,Yes,7.0,589.0,16064.0,27.0,15908.0,128.0,A*(GNN)
Test,SC,SC_10_10__pl_9,9,Yes,9.0,10.0,188.0,13.0,22.0,152.0,Yes,9.0,10.0,120.0,6.0,45.0,68.0,Yes,9.0,10.0,117.0,18.0,37.0,61.0,A*(GNN)
Test,SCRich,SC_10_10__pl_9,9,Yes,9.0,886.0,20614.0,21.0,20501.0,91.0,Yes,9.0,886.0,17444.0,18.0,17340.0,85.0,Yes,9.0,1248.0,32644.0,29.0,32475.0,139.0,A*(GNN)
Test,SC,SC_10_10__pl_10,10,Yes,10.0,15.0,191.0,11.0,100.0,79.0,Yes,10.0,15.0,158.0,9.0,65.0,83.0,Yes,10.0,15.0,161.0,20.0,60.0,80.0,A*(GNN)
Training,SCRich,SC_10_10__pl_10,10,Yes,10.0,3096.0,80030.0,22.0,79739.0,268.0,Yes,10.0,3096.0,58382.0,18.0,58130.0,233.0,Yes,10.0,1977.0,51904.0,32.0,51650.0,221.0,A*(GNN)
Test,SCRich,SC_10_10__pl_13,13,Yes,13.0,15826.0,285398.0,15.0,285039.0,343.0,Yes,13.0,15826.0,330014.0,16.0,329619.0,378.0,Yes,13.0,17305.0,472785.0,32.0,471179.0,1573.0,A*(GNN)
Training,SC,SC_10_10__pl_13,13,Yes,13.0,51.0,431.0,14.0,281.0,135.0,Yes,13.0,51.0,360.0,9.0,255.0,95.0,Yes,13.0,51.0,358.0,18.0,282.0,57.0,A*(GNN)
Test,SCRich,SC_10_10__pl_14,14,TO,,,,,,,Yes,14.0,30967.0,582175.0,17.0,581757.0,400.0,TO,,,,,,,-
Test,SC,SC_10_10__pl_17,17,Yes,17.0,946.0,7240.0,13.0,6849.0,377.0,Yes,17.0,946.0,5175.0,9.0,4978.0,187.0,Yes,17.0,942.0,7546.0,21.0,7334.0,190.0,A*(GNN)
Test,SCRich,SC_10_10__pl_17,17,TO,,,,,,,TO,,,,,,,TO,,,,,,,-
